ls_id,maggies_0,maggies_1,maggies_2,maggies_3,maggies_4,maggies_unc_0,maggies_unc_1,maggies_unc_2,maggies_unc_3,maggies_unc_4,maggies_fit_0,maggies_fit_1,maggies_fit_2,maggies_fit_3,maggies_fit_4,dust2_mean,tau_mean,massmet_1_mean,massmet_2_mean,logtmax_mean,dust2_std,tau_std,massmet_1_std,massmet_2_std,logtmax_std,chisq_maggies
9906620428584899,2.53867554799709e-09,1.0376440497385573e-08,2.58751454655746e-08,5.139929947467288e-08,3.3891032504327175e-08,4.909905787269507e-11,9.389639544869091e-11,1.6141887825082115e-10,6.633939133108735e-10,1.2913923883199723e-09,2.327529737263634e-09,1.0706621496243827e-08,2.5707427089882782e-08,4.468986033889847e-08,3.240188790644252e-08,0.42960060177703024,0.10058531272267968,10.99972063181224,-0.3670145679361819,-0.8015442468933146,0.013779019621214746,0.0004879999053631023,0.00022485399980454296,0.03540989790685364,0.0026967342174827108,9.704074808990865e-10
9906629661951022,1.6048439154176462e-09,6.524253091130957e-09,2.0292296529600375e-08,5.2262959629235365e-08,2.9373601589675046e-08,5.4265830142293774e-11,8.001302886041071e-11,1.492505328053038e-10,6.455067002944874e-10,1.2274292916120788e-09,2.3850923019919833e-09,7.195574274350027e-09,1.785787893242857e-08,5.072340765356624e-08,3.7003861800990285e-08,1.3285816326172584,0.1007174304643454,10.999645631790317,-0.2515869427399716,-1.2310056169495394,0.008842879055495053,0.0006255479448234581,0.00032271806391623433,0.0076070170470094595,0.0032600456151812905,2.767904650918101e-09
9906620036678000,2.8454044082045287e-10,1.4235410656869314e-09,6.850173951637065e-09,3.0077601427945796e-08,1.765811740407099e-08,3.512040817226218e-11,6.029574281981439e-11,1.483647976042686e-10,5.819060415741717e-10,1.198599129169756e-09,5.644642187552366e-10,1.3529963026637824e-09,6.299190562301954e-09,2.8738853763064764e-08,2.1051202757791186e-08,1.4996951196910835,0.1032445768918396,10.998389721400939,0.08602759228529232,-1.1554260130530183,0.018587406766905203,0.0028109048264995757,0.0013485598275387858,0.011777754662290802,0.008255033472621937,1.0347791727824787e-09
9906604369642331,2.207691573511509e-10,3.0954315157886566e-10,8.854066917958726e-10,1.0329916238516209e-09,5.92328187252095e-10,2.1089734368110407e-11,2.6148852352300247e-11,7.272859593257393e-11,4.243718412018876e-10,1.247523670723622e-09,2.240946530817264e-10,3.0628882728748115e-10,8.603915373955225e-10,1.147231336570425e-09,7.867469040058422e-10,0.26407016731439853,0.30003998631913414,9.821078396880733,-0.24778557117135566,-0.8245262500225612,0.10762118144398443,0.17362684223446542,0.07382691676416349,0.163421444025901,0.1498487209128984,7.72386251875833e-11
9906627809577018,1.98740876114589e-09,7.410412779516167e-09,1.8475695671118066e-08,3.9339424291975435e-08,2.42863136784171e-08,4.6244289120927784e-11,7.73872099873686e-11,1.8413567586974072e-10,5.636536813625766e-10,1.0462451955050413e-09,1.915438102813599e-09,7.596293503244689e-09,1.8121158383982046e-08,3.824124066772704e-08,2.8076659858842225e-08,0.7337210702446143,0.4087370155882941,10.997274364897592,-0.2774730705720649,-0.5957795761082729,0.029742093547819783,0.02317947915837271,0.002250045156884063,0.040281744530672854,0.01089332408051393,6.36285079217171e-10
9906620036746188,2.4966910245140085e-09,1.0088987872742842e-08,2.1371745802338393e-08,3.1261599864775005e-08,2.188884268519177e-08,3.830216890395809e-11,6.844565916805628e-11,1.4550402618289103e-10,5.438444404933677e-10,1.0913871528918232e-09,2.4967863518884245e-09,1.0089844608230766e-08,2.1421900920713087e-08,3.1194687455204934e-08,2.240380101809492e-08,0.1383357494132703,0.22065388430704927,10.84842654683975,0.01898016795264158,-0.42836665578757105,0.02911920718441723,0.09317003296646072,0.015199773365487284,0.03077487415529089,0.04055906559860679,1.2375942841146352e-11
9906623348736100,2.862724797697986e-10,4.68060508390155e-10,1.0293616876928447e-09,,,3.04751458834454e-11,4.978357015509563e-11,1.1956574342548693e-10,,,2.854182878320801e-10,4.802065791995301e-10,1.040774465131713e-09,4.459101883664182e-09,3.3103712555812126e-09,0.9535506708476419,2.242201292051073,9.391147654617736,-0.2081541980247781,-1.7451181481549791,0.12780193937145146,2.3740328572556235,0.13059586877601953,0.16443453810430875,0.34146022981723634,
9906620791721768,3.1155074922914565e-09,1.116977435883797e-08,2.3984352587654417e-08,3.263052039368041e-08,1.571792456015701e-08,5.389179344545708e-11,1.0309918163501001e-10,2.532276222771109e-10,6.274910756075875e-10,1.2828803737881193e-09,3.094670785725857e-09,1.122605422928604e-08,2.377176482492052e-08,3.1889262231475635e-08,2.162285786228353e-08,0.34687478159401863,0.9071028122114841,10.970576582723465,-0.4675049857862128,-0.19934487830380412,0.03163174895155026,0.10213259809160254,0.02265672628447005,0.02552923110976954,0.04016093552156883,2.2375203055185897e-09
9906605013930845,5.703832980113431e-10,1.5012492380933043e-09,2.6145298227913293e-09,4.0869187141958125e-09,2.4086827366503133e-09,3.7011065462606494e-11,3.588290071813151e-11,1.2951867846909806e-10,5.219477843515588e-10,1.229873617096381e-09,5.822265968336999e-10,1.4851613365810421e-09,2.6256013595530946e-09,3.8708832019498355e-09,2.6790704082184547e-09,0.5799990160167725,0.22812033838504076,9.867975069335525,-0.150570876870318,-1.0208359126687556,0.08714709092990607,0.09238027138624649,0.04849594647775954,0.148219121279536,0.1292779690498162,4.223736732439535e-11
9906628320495245,4.6153474403673544e-08,1.121202351665447e-07,2.082475976141978e-07,1.7508252448333153e-07,1.1548894126309493e-07,7.469713606479684e-11,1.2288928432666112e-10,1.8865282107309222e-10,9.142848954264297e-10,1.6145132085375117e-09,4.697893149338025e-08,1.0970054205135483e-07,2.1016020357403366e-07,1.7150103778383992e-07,1.0866352098358937e-07,0.0003043814711405693,0.17000034998533795,10.909876873063377,-0.07287974858170133,-0.3115927506489892,0.0002403715464158558,0.05933997475687901,0.004156533906777086,0.007628844070578759,0.011703079251982244,5.611958399008537e-10
9906621833741640,3.694424536950301e-08,1.0235474955967766e-07,2.118897750948691e-07,2.056615951731027e-07,1.4244840802037578e-07,1.0768423535316862e-10,1.6465836401854212e-10,2.540257904580896e-10,8.902553640128874e-10,1.4942023452595942e-09,3.8841735069060644e-08,9.983138790461634e-08,2.12540404567421e-07,2.0694867197994328e-07,1.3558716857453563e-07,0.18519114634803005,0.257593584326307,10.999842823867082,0.049193166030263746,-0.24256728546601314,0.0039043035908179428,0.07710680215821282,0.00013437756611030133,0.008640431593157461,0.010268715066534269,5.001999070127046e-10
9906621100789711,1.277220851269455e-07,3.5732055510260896e-07,6.915519336623106e-07,6.767128136703419e-07,4.592352328011729e-07,2.534301947370506e-10,3.8187429425689263e-10,7.927344815159567e-10,1.6140442680118434e-09,2.5433792151110017e-09,1.709392073060496e-07,3.1865318627224886e-07,6.045092737326283e-07,7.896399345902302e-07,5.104741001264922e-07,1.4128406544230667,0.10005859809670963,10.999981666462345,-0.49994641764280456,-1.525979165315353,0.0010491403539318212,5.0956188525287705e-05,1.4097384056627713e-05,4.55259795247822e-05,0.000408692874562048,5.4325143375799965e-08
9907733310735264,1.0236182021950293e-09,4.127786249606567e-09,1.1393711014764338e-08,2.5685569539223594e-08,1.951709607547675e-08,5.018555171057749e-11,8.385427158913108e-11,1.1242189011652023e-10,5.984779643202161e-10,1.223063185778923e-09,1.004715955844197e-09,4.1800597206202305e-09,1.138559361012577e-08,2.5891126424204976e-08,1.8226020357852147e-08,0.5369060746987301,0.39221927535391937,10.944168648995246,-0.1825406851527243,-0.5075218170107119,0.11929445597355395,0.0655443411556113,0.028332942808543933,0.14456007362004725,0.05378815404034623,8.806781833488067e-11
9906620437564656,1.314384412233181e-07,3.2850803767507853e-07,6.28841507284974e-07,6.873855526955215e-07,4.93646883996367e-07,1.7032328012643623e-10,2.0894766040847265e-10,4.5039247887142664e-10,1.5946190784721793e-09,2.551185588893241e-09,1.6115594303372416e-07,3.0642756212720484e-07,6.044389108546566e-07,7.962379584471535e-07,5.024723595375748e-07,1.431215407620882,1.2945149415990698,10.999991893428874,-0.4998904199035703,-0.8633232582892026,0.0015859166338319686,0.035459349063256373,6.912415428828313e-06,9.251951918240644e-05,0.00346981284651981,2.6545384571057196e-08
