ls_id,ra,dec,type,dered_mag_g,dered_mag_r,dered_mag_z,dered_mag_w1,dered_mag_w2,snr_g,snr_r,snr_z,snr_w1,snr_w2,z_phot_median,z_phot_std,z_spec,dered_flux_g,dered_flux_r,dered_flux_z,dered_flux_w1,dered_flux_w2,dchisq_1,dchisq_2,dchisq_3,dchisq_4,dchisq_5,rchisq_g,rchisq_r,rchisq_z,rchisq_w1,rchisq_w2,psfsize_g,psfsize_r,psfsize_z,sersic,sersic_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,shape_r,shape_r_ivar
9907740628487745,237.05322922583977,65.02103880425608,PSF,23.816973,22.377676,21.521078,22.444286,21.493366,0.1468917760646237,0.0777001935435633,0.0607270267515451,0.3852129010334511,0.2782045209534706,0.415358,0.108596,-99.0,0.297311,1.119257,2.46359,1.052653,2.52728,471.6444,475.24213,476.13956,475.82812,0.0,0.874137,0.896797,1.011115,0.88483,0.425788,0.0,0.0,1.849573,1.560136,1.327557,0.0,0.0,0.0,0.0,0.0,0.0
9906627106509069,335.1221559894314,14.929289375781996,EXP,23.446175,23.998585,23.927559,,,0.094171600101556,0.2415262894461467,0.6179392864880219,-1.5614118734086055,-2.1485092947731017,0.826381,0.625852,-99.0,0.418341,0.251516,0.26852,-0.381904,-0.569582,108.11549,114.10437,122.29552,129.02383,130.65263,1.101725,1.240322,0.924125,0.570465,1.297118,1.0,0.0,1.676468,1.318661,1.602121,0.86666,55.092796,-0.197035,25.13177,-0.346158,25.651869
9907740628487745,237.05322922583977,65.02103880425608,PSF,23.816973,22.377676,21.521078,22.444286,21.493366,0.1468917760646237,0.0777001935435633,0.0607270267515451,0.3852129010334511,0.2782045209534706,0.415358,0.108596,-99.0,0.297311,1.119257,2.46359,1.052653,2.52728,471.6444,475.24213,476.13956,475.82812,0.0,0.874137,0.896797,1.011115,0.88483,0.425788,0.0,0.0,1.849573,1.560136,1.327557,0.0,0.0,0.0,0.0,0.0,0.0
9907734823831950,164.97499084446758,39.85602108922641,EXP,22.291494,23.19519,,,,0.0628333265620874,0.2475428987190908,-0.4339002801009174,-0.2823746810807798,-0.7156654361548653,0.221378,0.394228,-99.0,1.21172,0.527137,-0.487026,-2.39037,-1.728845,185.3302,214.5565,229.828,234.93442,242.052,1.15733,1.140702,1.047217,8.140829,2.621909,1.0,0.0,1.755926,2.116812,1.268655,1.54561,71.12926,0.214376,174.28346,0.152498,139.1133
9906631501616303,343.6768575973602,27.47385435026117,PSF,25.11601,23.729492,23.429062,20.943787,,0.4014090983870055,0.1621300723919765,0.3810434018222984,0.1206374904250572,-1.0745224258595796,0.703969,0.323392,-99.0,0.089866,0.322257,0.424987,4.192621,-0.976234,47.18841,45.98632,0.0,0.0,0.0,0.889684,1.181475,1.065434,8.46159,1.692497,0.0,0.0,1.418493,1.256694,1.405657,0.0,0.0,0.0,0.0,0.0,0.0
9906620000505342,354.1739052357946,-3.968332191631269,PSF,20.9065,20.847847,20.291569,18.464003,18.46526,0.0105593595810285,0.0122508176200091,0.0155897453464005,0.0159243738036323,0.0321176910288267,0.839034,0.101562,-99.0,4.339104,4.579954,7.644918,41.152752,41.105152,19738.752,19865.059,19882.906,19867.865,0.0,3.518279,1.594991,1.68056,0.582005,0.66175,0.0,0.0,1.143223,1.258457,1.367334,0.0,0.0,0.0,0.0,0.0,0.0
9907737442651429,127.7843293765822,49.533160989922365,REX,18.096409,18.06542,18.08432,18.782162,18.879953,0.0021460244974773,0.002507644880813,0.002889515365982,0.019736346788236,0.0416392169551338,0.029654,0.068707,-99.0,57.734642,59.406197,58.38103,30.699762,28.055538,406039.3,424923.3,426207.7,425659.94,0.0,4.71799,3.293967,4.882868,2.60146,0.583939,1.0,0.0,1.865619,2.333966,1.184894,0.434071,343810.66,0.0,0.0,0.0,0.0
9907735805170813,106.82369617102889,43.316397958968565,DUP,,,,,,,,,,,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.928838,2.000768,1.418087,0.0,0.0,0.0,0.0,0.0,0.0
9906622351674517,324.59650288970664,2.167512636672086,SER,19.189085,18.280449,17.644524,17.341995,17.600924,0.0030580055155713,0.0020695119297876,0.0022033588311869,0.0072943288863482,0.0170193526447082,0.155735,0.033192,-99.0,21.104046,48.732666,87.53677,115.66495,91.123604,368490.66,481567.62,547184.8,538829.06,548369.6,1.577151,1.766528,2.919518,1.540085,0.59764,2.664962,2981.573,1.839975,1.3957,1.220837,2.099151,41449.715,0.246373,278748.72,-0.562658,332546.97
9907741946743853,194.47430697339828,75.16193130192858,REX,23.101662,22.732077,22.270517,22.920128,,0.1058229914036783,0.1574265174718758,0.1121612369123955,0.5579423131590748,-0.2781484165058841,0.777036,0.287057,-99.0,0.57456,0.80755,1.235358,0.679123,-2.52111,178.81747,182.7475,183.90244,183.17134,0.0,0.651873,0.858931,0.783006,0.435988,0.657813,1.0,0.0,2.366118,2.053946,1.126236,0.343877,167.8991,0.0,0.0,0.0,0.0
9906629879662936,353.633151850411,22.832642453738472,REX,23.184637,22.792435,22.17114,22.492748,23.47901,0.0973220328537596,0.1004216445680041,0.1247053551508082,0.5200346044678943,2.738675643656804,0.818305,0.200951,-99.0,0.532286,0.763881,1.353767,1.006702,0.405878,259.07208,266.8305,268.00925,267.8653,0.0,1.147467,0.851226,0.904153,1.002892,0.927331,1.0,0.0,1.636859,1.542577,1.878092,0.356401,216.48402,0.0,0.0,0.0,0.0
9907738173375406,220.1883532790584,52.50028248749204,REX,20.736734,20.387646,20.291939,20.932102,21.24192,0.010162169688975,0.0130318252260749,0.0221273557014802,0.0971388948460828,0.2501104813085185,0.126203,0.053192,-99.0,5.073485,6.997478,7.642307,4.237984,3.185897,16550.98,17609.098,17584.383,17618.65,0.0,0.978461,0.893029,0.907551,1.478912,0.673763,1.0,0.0,1.961685,1.737191,1.891031,0.523906,10817.834,0.0,0.0,0.0,0.0
9906624807306656,13.715960282810611,9.116286912057712,REX,24.041239,23.593786,23.205385,26.19328,,0.1298103167395943,0.1836082544358053,0.2407741504686891,17.949131631533742,-0.8018442227478035,0.781593,0.371648,-99.0,0.241827,0.365162,0.522211,0.033319,-1.637872,101.276276,105.37903,106.22101,107.010315,0.0,0.910323,0.98555,1.091016,0.658178,0.457798,1.0,0.0,1.716724,1.372124,1.623884,0.360293,94.480774,0.0,0.0,0.0,0.0
9906627478357432,5.530776243938791,16.33026421049537,PSF,18.007462,17.247395,16.764668,15.961714,15.791183,0.0009203558514555,0.0008549155504776,0.0007211416150649,0.003044138899242,0.0044566608501222,0.15591,0.070229,-99.0,62.66355,126.19492,196.8488,412.39612,482.53247,4471678.0,0.0,0.0,0.0,0.0,374.0478,549.2531,737.95575,12.576174,2.55134,0.0,0.0,1.330917,1.3174,1.364686,0.0,0.0,0.0,0.0,0.0,0.0
9906626798685814,202.57427006199555,14.279053618695796,REX,20.987244,20.498337,20.221725,20.456167,23.91588,0.0080509508631682,0.0086936018070105,0.0151734068079132,0.0818421859841073,4.20731986993262,0.186333,0.073586,-99.0,4.028123,6.319252,8.152862,6.569511,0.271424,31154.383,32959.363,33072.992,32983.49,0.0,1.311503,1.300026,1.047074,0.546201,0.357118,1.0,0.0,1.564083,1.291411,1.10316,0.374959,38160.195,0.0,0.0,0.0,0.0
9907732615595689,194.9144701654118,32.48955098748177,SER,19.422478,18.50467,17.903606,18.209476,18.814787,0.0045975985797506,0.0038981053718504,0.0023629788821742,0.0120057603321515,0.0381218935271789,0.106484,0.025367,-99.0,17.021925,39.639854,68.95372,52.024643,29.79103,278262.06,286253.16,291965.9,290111.5,292040.16,1.149434,1.190282,2.978151,0.789653,0.516349,6.0,17.379314,1.658554,1.994558,1.257985,0.459669,93502.39,-0.484378,20222.428,0.160649,20719.67
9907736886904700,187.5114630147036,47.276547421943135,PSF,23.670376,23.976843,25.257648,22.453503,21.463243,0.1435804408455857,0.2948376640539504,0.8779438763666643,0.4580455649135881,0.3663837167606654,0.865037,0.436732,-99.0,0.34029,0.256604,0.078875,1.043756,2.598379,58.27778,58.140446,0.0,0.0,0.0,0.951369,1.047334,1.153081,1.404295,1.377024,0.0,0.0,2.156401,1.926862,1.187036,0.0,0.0,0.0,0.0,0.0,0.0
9906633461662723,19.614075881365963,33.69059629543685,REX,20.515867,,,18.05295,18.172197,0.0070574542422045,,,0.0108482144667633,0.0230765418392165,-99.0,-99.0,-99.0,6.218037,0.0,0.0,60.092453,53.841965,19832.662,20077.3,20135.629,20084.375,0.0,2.951318,0.0,0.0,0.749483,0.656859,1.0,0.0,1.553188,0.0,0.0,0.299802,13671.209,0.0,0.0,0.0,0.0
9906629791449347,349.1975450677865,22.55269584310001,SER,17.055332,16.091528,15.403936,15.544463,16.06578,0.0009775579333146,0.0005507427194494,0.0005227152710194,0.0024918483373254,0.0059221447966933,0.099439,0.006,-99.0,150.6147,365.92258,689.327,605.6404,374.70322,4910667.5,7619538.0,7942912.0,7621554.5,7943068.0,2.411809,2.317796,2.54786,1.993406,0.845425,3.828272,50420.43,1.608175,1.716013,1.653137,2.779847,384094.94,-0.027685,5222572.0,-0.011911,3138150.2
9906622927280913,1.9998745960033064,3.919541736819416,REX,18.838522,18.653133,18.007437,16.867292,16.415232,0.0018095649379121,0.0013856123473756,0.0014867177683553,0.0050972808616843,0.0065820000136589,0.378476,0.145439,-99.0,29.14684,34.573772,62.665054,179.09474,271.58585,1258271.5,1278656.2,1286954.0,1278878.9,0.0,28.803146,37.780025,26.731062,1.951169,1.945433,1.0,0.0,1.435401,1.180736,1.038257,0.226914,1714295.5,0.0,0.0,0.0,0.0
9906617198316586,12.41459092674098,-11.204661021911775,SER,19.203255,18.892357,18.738691,19.436178,19.784117,0.0043871170209376,0.0060655068445657,0.0100824266377539,0.0423459156538575,0.121320669229662,0.050773,0.023887,-99.0,20.830416,27.73686,31.953863,16.808495,12.199821,31754.973,66089.805,68684.836,77414.82,77586.04,1.11832,0.985722,0.985727,0.722954,0.715535,0.714907,6200.551,1.502082,1.312239,1.511557,3.174809,8478.223,0.090958,102375.766,0.567859,177402.52
9906624042174347,310.0205983938426,6.709751078807169,PSF,,24.248178,22.092873,21.03853,21.188643,-0.3617615250084245,0.3145341437537327,0.0689333817179701,0.1511224659727066,0.3465159577456317,0.899179,0.134699,-99.0,-0.091904,0.199861,1.454959,3.842272,3.346131,206.82623,203.80096,0.0,0.0,0.0,0.967831,1.120135,1.094842,0.952381,0.636171,0.0,0.0,1.433996,1.66668,1.374615,0.0,0.0,0.0,0.0,0.0,0.0
9906631092799578,36.62686848147671,26.61893433950585,DEV,18.362743,17.64194,17.128782,17.500032,18.098646,0.0018510712408221,0.0019803220005506,0.0019432350950345,0.0084020749802114,0.0266362381028345,0.073789,0.016597,-99.0,45.17547,87.74545,140.76256,99.99708,57.615818,637400.25,767833.25,812770.2,789663.9,812773.8,1.755683,1.177935,1.257084,2.961838,0.703691,4.0,0.0,1.364602,1.2888,1.397371,1.509068,84389.945,0.239539,358086.6,0.243458,359167.9
9907737590042927,274.7580222526583,50.078091492083566,SER,19.31152,18.567274,17.923662,17.484552,17.831131,0.0049892910975306,0.0051540679867307,0.0043135186118231,0.0064839962455033,0.0133543366902229,0.127115,0.024233,-99.0,18.85351,37.418846,67.69168,101.43287,73.713585,61014.625,107674.15,125376.98,131559.25,132509.05,1.268936,1.408878,1.784709,5.190183,1.922666,0.5,10519.732,2.253274,1.559388,1.166155,2.47638,19993.102,-0.050339,137821.42,-0.578527,205242.38
9907738847613069,262.0039230176787,55.38336002910743,EXP,21.493074,21.005152,20.976665,22.420174,23.222721,0.0350827159367838,0.0348436469366562,0.0496331202017102,0.3548000270690938,1.3207456980472707,0.145851,0.087501,-99.0,2.527958,3.962223,4.067556,1.076294,0.513939,1337.1707,1933.5497,1987.3711,2039.2256,2056.3037,0.900474,0.844209,0.966164,0.83273,0.609592,1.0,0.0,1.672027,1.866079,1.077217,1.626926,477.4965,0.362744,1654.5231,-0.059679,838.5548
9906629945266228,264.9891638055288,22.909315123774665,REX,20.552567,20.263603,20.40958,20.942856,21.153124,0.0063999368756226,0.0086152517009226,0.0170630141152076,0.1181155641825671,0.2787021474723202,0.358326,0.254737,-99.0,6.011373,7.844381,6.857536,4.196212,3.457406,39581.375,41043.28,41399.72,41360.445,0.0,1.516877,1.393312,1.064593,0.927765,0.636486,1.0,0.0,1.454299,1.308846,1.471942,0.313019,43940.54,0.0,0.0,0.0,0.0
